98 	 	 	 100010 	 	 	 99 
99 	 	 	 100011 	 	 	 555 
100 	 	 	 100100 	 	 	 116 
101 	 	 	 100101 	 	 	 18 
102 	 	 	 100110 	 	 	 153 
103 	 	 	 100111 	 	 	 702 
104 	 	 	 101000 	 	 	 40 
105 	 	 	 101001 	 	 	 6 
106 	 	 	 101010 	 	 	 0 
107 	 	 	 101011 	 	 	 1 
108 	 	 	 101100 	 	 	 73 
109 	 	 	 101101 	 	 	 19 
110 	 	 	 101110 	 	 	 93 
111 	 	 	 101111 	 	 	 523 
112 	 	 	 110000 	 	 	 2224 
113 	 	 	 110001 	 	 	 540 
114 	 	 	 110010 	 	 	 115 
115 	 	 	 110011 	 	 	 745 
116 	 	 	 110100 	 	 	 42 
117 	 	 	 110101 	 	 	 1 
118 	 	 	 110110 	 	 	 87 
119 	 	 	 110111 	 	 	 551 
120 	 	 	 111000 	 	 	 2053 
121 	 	 	 111001 	 	 	 684 
122 	 	 	 111010 	 	 	 33 
123 	 	 	 111011 	 	 	 529 
124 	 	 	 111100 	 	 	 2033 
125 	 	 	 111101 	 	 	 486 
126 	 	 	 111110 	 	 	 2012 
127 	 	 	 111111 	 	 	 19295 
128 	 	 	 0000000 	 	 	 17705 
129 	 	 	 0000001 	 	 	 1925 
130 	 	 	 0000010 	 	 	 467 
131 	 	 	 0000011 	 	 	 1798 
132 	 	 	 0000100 	 	 	 483 
133 	 	 	 0000101 	 	 	 43 
134 	 	 	 0000110 	 	 	 636 
135 	 	 	 0000111 	 	 	 1542 
136 	 	 	 0001000 	 	 	 483 
137 	 	 	 0001001 	 	 	 87 
138 	 	 	 0001010 	 	 	 4 
139 	 	 	 0001011 	 	 	 52 
140 	 	 	 0001100 	 	 	 685 
141 	 	 	 0001101 	 	 	 72 
142 	 	 	 0001110 	 	 	 562 
143 	 	 	 0001111 	 	 	 1416 
144 	 	 	 0010000 	 	 	 464 
145 	 	 	 0010001 	 	 	 101 
146 	 	 	 0010010 	 	 	 17 
147 	 	 	 0010011 	 	 	 103 
148 	 	 	 0010100 	 	 	 4 
149 	 	 	 0010101 	 	 	 0 
150 	 	 	 0010110 	 	 	 5 
151 	 	 	 0010111 	 	 	 65 
152 	 	 	 0011000 	 	 	 653 
153 	 	 	 0011001 	 	 	 155 
154 	 	 	 0011010 	 	 	 9 
155 	 	 	 0011011 	 	 	 91 
156 	 	 	 0011100 	 	 	 622 
157 	 	 	 0011101 	 	 	 64 
158 	 	 	 0011110 	 	 	 424 
159 	 	 	 0011111 	 	 	 1560 
160 	 	 	 0100000 	 	 	 432 
161 	 	 	 0100001 	 	 	 63 
162 	 	 	 0100010 	 	 	 15 
163 	 	 	 0100011 	 	 	 96 
164 	 	 	 0100100 	 	 	 17 
165 	 	 	 0100101 	 	 	 0 
166 	 	 	 0100110 	 	 	 22 
167 	 	 	 0100111 	 	 	 87 
168 	 	 	 0101000 	 	 	 4 
